fish_name,shuttlebox_start_side,presentation_when_fish_gave_up,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,shuttlebox_average_distance_from_correct_stimulus_during_gaps,difference_avg_dist_from_correct_first_5_gaps_minus_last_5_gaps,difference_avg_prop_correct_first_5_gaps_minus_last_5_gaps,shuttlebox_slope_using_avg_dist_from_correct,shuttlebox_wilcox_test_using_avg_dist_from_correct,binned_shuttlebox_slope_using_avg_dist_from_correct,binned_shuttlebox_wilcox_test_using_avg_dist_from_correct,shuttlebox_slope_using_proportion_time_correct_during_gap,shuttlebox_wilcox_test_using_proportion_time_correct_during_gap,binned_shuttlebox_slope_using_proportion_time_correct_during_gap,binned_shuttlebox_wilcox_test_using_proportion_time_correct_during_gap,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations
gail,R,24,609.4416666666667,589.196261682243,251.10000000000002,-0.26666666666666666,-6.350859162781832,0.010774364263331896,-18.090428341384733,0.010774364263331896,0.005153874675565438,0.38048339714686147,0.016557868938821312,0.3576997405045187,0.5537037037037037,0.525,0.005153874675565438,0.003058954393770863,0.5571050642479214,0.525,0.016557868938821312,0.008585858585858573
gary,R,30,583.8416666666667,646.3457943925233,140.21960784313728,-0.12820512820512825,-3.4118567548011285,0.3961997876963175,-9.794542136339208,0.3961997876963175,0.0023929722483671317,1,0.008057903295998531,0.9187600955117996,0.500997150997151,0.55,0.0023929722483671317,-0.00433815350389321,0.5032501889644747,0.55,0.008057903295998531,-0.013131313131313136
george,R,7,642.5916666666667,602.7757009345794,NA,NA,-2.5207506257191374,0.14437834882269246,-10.161736983360125,0.14437834882269246,0.0023853664565566613,0.7133677473476019,0.011844064225016614,0.7209291699498709,0.5314814814814814,0.5,0.0023853664565566613,-0.005895439377085657,0.5348828420256991,0.5,0.011844064225016614,-0.021212121212121213
wendy,R,21,639.5166666666667,646.7644859813084,-20.677777777777806,0.05555555555555558,-2.3480288957688367,0.6425824879317683,-6.207561996779382,0.6425824879317683,0.001522109086069043,0.9177451483162634,0.005446757827710208,0.76953125,0.4821937321937322,0.49166666666666664,0.001522109086069043,-5.5617352614014884e-5,0.48488284202569915,0.49166666666666664,0.005446757827710208,0.0015151515151515104
wheatley,R,30,550.0583333333333,644.5794392523364,13.755555555555588,0.02307692307692305,-2.4830475783779895,0.8832096057741288,-10.810035426731014,0.8832096057741288,0.0015297148778795058,0.8125639278080548,0.008449575116241777,0.4036220091236142,0.48133903133903133,0.5916666666666667,0.0015297148778795058,-0.0077308120133481656,0.48174603174603176,0.5916666666666667,0.008449575116241777,-0.025757575757575757
willow,R,16,581.2083333333334,675.6429906542056,-23.466666666666583,0.011111111111111183,-1.2460140208533481,0.2001818924446582,3.9936253354803872,0.2001818924446582,0.0032752440983809146,0.6510486004578115,-0.0016147873290730528,0.1845725528398829,0.45740740740740743,0.6083333333333333,0.0032752440983809146,-0.01751946607341491,0.45136054421768707,0.6083333333333333,-0.0016147873290730528,-0.04393939393939396
gertrude,L,9,672.8833333333333,674.7177570093457,NA,NA,-3.6351280500100613,0.3535359682997005,-12.035426731078841,0.3535359682997005,0.00292918057100482,0.5247333044931468,0.012068531116150152,0.4133023795226212,0.4574074074074074,0.4666666666666667,0.00292918057100482,0.00845383759733037,0.46080876795162506,0.4666666666666667,0.012068531116150152,0.024242424242424232
gloria,L,16,781.6034482758621,625.503861003861,165.89999999999998,-0.2,-7.094130552455926,0.8648698600391844,-26.07005495568711,0.8648698600391844,0.004115684093437152,0.5808912602270008,0.019475938523557595,0.7594628653799336,0.5018518518518519,0.35,0.004115684093437152,0.005005561735261404,0.5052532123960696,0.35,0.019475938523557595,0.013131313131313126
gunther,L,9,665.2083333333334,663.9551401869159,NA,NA,-2.8567666631080724,0.3436476123460436,-7.793829307568426,0.3436476123460436,0.0023359288097886486,0.7460187376088532,0.008149522435236714,1,0.4685185185185185,0.4666666666666667,0.0023359288097886486,0.008676307007786425,0.47173091458805744,0.4666666666666667,0.008149522435236714,0.02828282828282827
willis,L,7,681.475,669.1532710280374,NA,NA,-4.836529660866157,0.1911993796854466,-13.037470746108394,0.1911993796854466,0.004746014089729327,0.6371948115647506,0.01487436725531963,0.9187600955117996,0.46296296296296297,0.45,0.004746014089729327,0.0012235817575083428,0.46636432350718066,0.44999999999999996,0.01487436725531963,0.005050505050505028
winona,L,1,644.3,609.6392523364486,NA,NA,0.35699275233384753,0.04979066200516986,-0.7688416532474274,0.04979066200516986,-0.0011494252873563214,0.8299768562201778,3.962527772051394e-4,0.5397630422286757,0.5277777777777778,0.49166666666666664,-0.0011494252873563214,0.01095661846496106,0.5311791383219955,0.49166666666666664,3.962527772051394e-4,0.03282828282828281
wyatt,L,11,664.575,654.3551401869158,78.51111111111106,-0.09999999999999998,-2.9764043984199606,0.61768401836274,-8.057107890499129,0.61768401836274,0.004041527623285123,0.9642903555236115,0.00925582354153785,0.9592742896140631,0.49444444444444446,0.475,0.004041527623285123,-5.005561735261381e-4,0.4910430839002268,0.475,0.00925582354153785,-5.050505050505248e-4
gavin,L,0,641.72,635.4721495327103,NA,NA,0.2232154015871245,0.3153287969668088,0.1747203435319152,0.3153287969668088,7.168458781361914e-4,0.7883433963343047,6.138482328958522e-4,0.4738046981936423,0.5074074074074074,0.5,7.168458781361914e-4,-0.004004449388209129,0.5040060468631897,0.5,6.138482328958522e-4,-0.014141414141414139
wanda,R,9,684.5333333333333,598.7409345794392,NA,NA,-1.422942291496133,0.24257905449375539,-2.4713103596349524,0.24257905449375539,5.438141144481399e-4,1,0.0018552875695732616,0.41360744264807486,0.537037037037037,0.45,5.438141144481399e-4,-1.1123470522803562e-4,0.5404383975812548,0.44999999999999996,0.0018552875695732616,0.0010101010101010008
whitney,R,24,722.3333333333334,596.3484112149532,-175.2888888888889,0.16666666666666669,8.634429237393656,0.008060795002869556,22.846570907138894,0.008060795002869556,-0.009492028179458661,0.9168567770587621,-0.023594218832314093,0.6830913983096087,0.5296296296296297,0.4083333333333333,-0.009492028179458661,0.010177975528364847,0.532464096749811,0.4083333333333333,-0.023594218832314093,0.026767676767676763
wilma,R,0,680.2666666666667,637.2366355140186,NA,NA,-0.927217679086146,0.7850743620509726,-3.5845805689747268,0.7850743620509726,0.002025042069535954,0.9401216360668385,0.005112347969490841,0.8585862013366392,0.5085470085470085,0.4666666666666667,0.002025042069535954,-0.004338153503893214,0.5056689342403629,0.4666666666666667,0.005112347969490841,-0.013131313131313145
gabi,L,5,644.8416666666667,598.4579439252336,NA,NA,15.513044138405457,0.0886152116050407,48.50501341921612,0.0886152116050407,-0.01740205166234087,0.7605472828191062,-0.053187200806248426,0.7596144888058398,0.5407407407407407,0.49166666666666664,-0.01740205166234087,-0.0033926585094549507,0.542819349962207,0.49166666666666664,-0.053187200806248426,-0.012626262626262666
georgia,L,30,528.3083333333333,607.5009345794392,-21.166013071895463,0.03589743589743588,1.3911616431206364,0.03529114179812561,3.1839871175523022,0.03529114179812561,-0.0029748153218676094,0.181076943647079,-0.006168258549210935,0.23572565112349772,0.544017094017094,0.6666666666666666,-0.0029748153218676094,-0.0076751946607341425,0.5471277399848828,0.6666666666666666,-0.006168258549210935,-0.02222222222222221
gina,L,13,644.675,661.9682242990655,-4.41111111111104,0.011111111111111183,2.8994114088466603,0.993085561316465,8.368349973161546,0.993085561316465,-0.002751395187435237,0.6879226525879201,-0.008364827412446482,0.7220491421508173,0.47492877492877494,0.5,-0.002751395187435237,-0.0015572858731924333,0.4743764172335601,0.5,-0.008364827412446482,-0.007070707070707085
watson,R,0,628.1666666666666,594.2018691588785,NA,NA,1.3083904487384785,0.011845239806537133,4.683542673107901,0.011845239806537133,-4.4493882091213317e-4,0.557258986997432,-0.0051306717973384755,0.8369957300480487,0.5518518518518518,0.5166666666666667,-4.4493882091213317e-4,0.0011123470522803119,0.5465608465608466,0.5166666666666666,-0.0051306717973384755,0.0030303030303030177
wayne,R,4,661.0333333333333,679.1514018691589,NA,NA,-2.484888793993091,0.21976944652200597,-5.566778314546413,0.21976944652200597,0.0015572858731924333,0.611601172534698,0.004361071027737705,0.3583264667488803,0.45185185185185184,0.475,0.0015572858731924333,0.001390433815350388,0.4544973544973545,0.475,0.004361071027737705,0.0035353535353535304
wilbur,R,15,647.5916666666667,655.5084112149533,-179.5333333333333,0.18888888888888883,1.3513215425311156,0.7927194841323585,-1.1662737520128519,0.7927194841323585,-0.0022123346928686156,0.9492261246443163,0.0011360773265535128,0.6355861222787667,0.4759259259259259,0.49166666666666664,-0.0022123346928686156,0.00283648498331479,0.4802721088435374,0.49166666666666664,0.0011360773265535128,0.002525252525252505
garrison,R,5,587.125,639.7869158878505,NA,NA,-0.23502224120137155,0.9277169925592075,0.44872356414385495,0.9277169925592075,0.0011494252873563142,1,2.771478961955089e-4,0.4732249562561902,0.5055555555555555,0.5583333333333333,0.0011494252873563142,-0.008843159065628478,0.5021541950113378,0.5583333333333333,2.771478961955089e-4,-0.02575757575757575
grant,R,5,655.8083333333333,652.5532710280373,NA,NA,-2.718233514821516,0.25329314806480757,-8.089625335480344,0.25329314806480757,0.0038808552712890753,0.9817304958612704,0.009592523878238156,0.35453947977350136,0.4925925925925926,0.48333333333333334,0.0038808552712890753,-0.0027808676307007783,0.4891912320483749,0.4833333333333333,0.009592523878238156,-0.009090909090909092
gustavo,R,0,639.25,648.56261682243,NA,NA,-2.4854012312729044,0.8101070205498955,-7.68949006977992,0.8101070205498955,0.003448275862068965,0.8709337989740814,0.008582422868137155,0.2152141805194588,0.49444444444444446,0.5,0.003448275862068965,-0.0033370411568409424,0.4910430839002267,0.5,0.008582422868137155,-0.0101010101010101
waldhurga,L,8,585.1416666666667,640.8,NA,NA,1.0115011328185088,0.5903901735113007,4.432315619967747,0.5903901735113007,-0.0017654944240038778,0.9917092927425266,-0.004897042992281094,0.9527235817670947,0.4933048433048433,0.575,-0.0017654944240038778,-0.005728587319243604,0.4963718820861678,0.575,-0.004897042992281094,-0.013636363636363624
winnifred,L,1,559.4416666666667,603.2056074766355,NA,NA,8.27665444883336,0.18334100597886993,25.031136876006308,0.18334100597886993,-0.009603262884686688,0.5950390199188005,-0.026988707941088895,0.6091340090519572,0.5351851851851852,0.5916666666666667,-0.009603262884686688,-0.002947719688542834,0.5385865457294029,0.5916666666666667,-0.026988707941088895,-0.011616161616161616
winter,L,5,715.05,693.3532710280374,NA,NA,-9.533395964556382,6.339294449096204e-4,-30.416843800321935,6.339294449096204e-4,0.011074032876035101,0.5351659826984039,0.033161547447261734,0.3580133237520272,0.44814814814814813,0.4166666666666667,0.011074032876035101,0.0018909899888765295,0.44474678760393044,0.41666666666666663,0.033161547447261734,0.006060606060606054
gladys,R,14,592.575,636.8,153.24444444444447,-0.17777777777777776,3.276825024020497,0.9823806041452152,10.110494900697752,0.9823806041452152,-0.0024842417500926996,0.9917106351377222,-0.01064843445795825,0.845703125,0.512962962962963,0.55,-0.0024842417500926996,0.0030033370411568345,0.5080498866213152,0.55,-0.01064843445795825,0.008080808080808074
gretchen,R,13,747.3916666666667,605.7682242990654,67.55555555555554,-0.10000000000000003,7.219671423318228,0.011380249136005896,23.700077294685855,0.011380249136005896,-0.005785155395833926,0.5844481322128461,-0.019514876657733805,0.5397630422286757,0.532051282051282,0.375,-0.005785155395833926,0.012291434927697444,0.5321239606953893,0.375,-0.019514876657733805,0.03787878787878787
gwen,R,0,655.5666666666667,645.2336448598131,NA,NA,-0.6647867810161027,0.41902175026045,-3.6299001610305965,0.41902175026045,0.001952787047336545,0.8877421088991179,0.005103186055566984,0.7984748259421881,0.5,0.4666666666666667,0.001952787047336545,0.002335928809788651,0.4965986394557823,0.4666666666666667,0.005103186055566984,0.004040404040404019
wade,L,0,655.1833333333333,671.8803738317757,NA,NA,-2.439428727328785,0.18824983699994682,-6.827482555018756,0.18824983699994682,8.651588184402435e-4,0.7203556673065828,0.0043244233720424055,0.9185487179237722,0.4703703703703704,0.5,8.651588184402435e-4,0.0037819799777530473,0.4737717309145881,0.5,0.0043244233720424055,0.014141414141414134
warren,L,0,702.9666666666667,669.3308411214954,NA,NA,-1.7541667556314469,0.7716197194166554,-7.381002683843166,0.7716197194166554,0.0021819115256267578,0.5244390578622674,0.007263107263107235,0.47409386201124476,0.4756410256410256,0.45,0.0021819115256267578,0.0027808676307007727,0.4738095238095238,0.45,0.007263107263107235,0.008080808080808065
wes,L,7,698.7583333333333,675.229906542056,NA,NA,-4.117102594213707,0.22868320071607479,-11.814529253891505,0.22868320071607479,0.005401062909405501,0.4950227279336575,0.013745161364208948,0.4746707816123811,0.4685185185185185,0.45,0.005401062909405501,0.007119021134593998,0.4651171579743008,0.45,0.013745161364208948,0.022222222222222206
garfield,L,5,674.1833333333333,663.4654205607477,NA,NA,-5.230419558022817,0.9124053272564777,-15.021359098228565,0.9124053272564777,0.004535904090965276,0.6249965964398867,0.015295815295815302,1,0.4685185185185185,0.45,0.004535904090965276,0.013014460511679635,0.47248677248677245,0.44999999999999996,0.015295815295815302,0.04141414141414142
gendry,L,6,551.775,626.2565543071161,NA,NA,4.300984487151127,0.3028975638070487,12.402363679976297,0.3028975638070487,-0.0049314052651093865,0.982489783261978,-0.012173893126274088,0.8782461752097386,0.5018518518518519,0.5833333333333334,-0.0049314052651093865,-0.005672969966629595,0.5052532123960696,0.5833333333333333,-0.012173893126274088,-0.019191919191919208
gilly,L,30,745.025,667.8635514018691,64.1908496732027,-0.047863247863247915,-2.3279069546753846,0.052237650365416374,-7.027096081588802,0.052237650365416374,0.001964195735052236,0.5149338298516457,0.005840720126434396,0.47642205270102317,0.4598290598290598,0.36666666666666664,0.001964195735052236,0.01090100111234705,0.4600907029478458,0.36666666666666664,0.005840720126434396,0.03333333333333335
wilhelmina,R,18,673.7583333333333,626.7121495327103,-110.8888888888888,0.12222222222222223,3.3065537406735204,0.6616717562009968,6.092745034889942,0.6616717562009968,-0.003440670070258496,0.9072783627314952,-0.005804072470739146,1,0.5084045584045584,0.4583333333333333,-0.003440670070258496,0.006729699666295883,0.5095238095238095,0.4583333333333333,-0.005804072470739146,0.015656565656565653
winthrop,R,30,683.1416666666667,643.5570093457944,-51.102614379085026,0.12222222222222223,2.1990543634271607,0.6850883334907594,5.938134192163169,0.6850883334907594,-0.004523544679273275,0.7412390871632237,-0.009956709956709942,0.47525380583898247,0.4814814814814815,0.425,-0.004523544679273275,0.01151279199110123,0.48544973544973546,0.425,-0.009956709956709942,0.03484848484848483
wylla,R,0,706.2333333333333,643.6392523364486,NA,NA,0.3529312124123716,0.753562102070893,1.338995169082123,0.753562102070893,-0.0014954888147324266,0.9030470342491175,-0.0026432121670217057,0.8373136810307841,0.49074074074074076,0.45,-0.0014954888147324266,0.010122358175750839,0.49433106575963714,0.45,-0.0026432121670217057,0.0313131313131313
gemma,L,0,712.1666666666666,647.9177570093458,NA,NA,-3.9524358563751827,0.9184974749896253,-14.422393988190976,0.9184974749896253,0.004226918798665181,0.8558275103303675,0.013165670308527453,0.9056954420343094,0.4925925925925926,0.4083333333333333,0.004226918798665181,0.006840934371523918,0.4895691609977324,0.4083333333333333,0.013165670308527453,0.01767676767676767
gibson,L,0,656.05,659.8130841121496,NA,NA,1.9284305422108177,0.14067628339514546,4.012998389694008,0.14067628339514546,-0.002842664689160793,0.504647693024441,-0.0053093291188529386,0.9187074054282888,0.48148148148148145,0.49166666666666664,-0.002842664689160793,-0.005172413793103461,0.4845049130763417,0.49166666666666664,-0.0053093291188529386,-0.016666666666666673
gordon,L,0,715.3833333333333,651.5102803738317,NA,NA,-2.085410483612695,0.7301696393601971,-8.403323671497573,0.7301696393601971,6.674082313681834e-4,0.8030661900083105,0.005895691609977311,0.721814730439508,0.48518518518518516,0.45,6.674082313681834e-4,0.007452725250278085,0.48858654572940285,0.45,0.005895691609977311,0.02323232323232321
wildflower,L,0,612.8666666666667,607.3906542056075,NA,NA,-4.454980724292111,0.41478368650944547,-8.559703703703649,0.41478368650944547,0.0025536446003631722,0.7857793945936623,0.004287775716347144,0.4752458321391804,0.5250712250712251,0.5083333333333333,0.0025536446003631722,0.003503893214682981,0.526379440665155,0.5083333333333333,0.004287775716347144,0.01363636363636363
wile,R,0,602.9833333333333,677.0242990654206,NA,NA,-0.12610417185627681,0.34734997810728385,-0.2997960279119576,0.34734997810728385,-9.393152885922649e-4,0.7720047356977857,-8.383151240294174e-4,0.3074341659273953,0.46296296296296297,0.525,-9.393152885922649e-4,-0.002391546162402676,0.46636432350718066,0.525,-8.383151240294174e-4,-0.005555555555555563
wisteria,L,0,719.9833333333333,693.2336448598131,NA,NA,-11.741012300867062,0.14448470293459462,-34.16240472356401,0.14448470293459462,0.011543690520331228,0.9823088653063942,0.03160860303717448,0.553268714219993,0.45925925925925926,0.43333333333333335,0.011543690520331228,-0.008898776418242483,0.45547996976568406,0.43333333333333335,0.03160860303717448,-0.023232323232323264
gideon,L,9,715.9083333333333,641.3981308411215,NA,NA,-1.678853658825886,0.7099198723185685,-7.497820719269946,0.7099198723185685,0.0031763688048448823,0.8007166083211958,0.009929224214938486,0.5387009282569317,0.4981481481481482,0.425,0.0031763688048448823,0.008620689655172415,0.4947467876039304,0.425,0.009929224214938486,0.024747474747474716
grayson,L,8,677.6666666666666,649.1831775700934,NA,NA,0.08047637687864087,0.8840836499205491,2.6015695115405224,0.8840836499205491,-7.662835249042216e-4,0.737681811626757,-0.0026340502530978966,0.6098340436734594,0.48518518518518516,0.4583333333333333,-7.662835249042216e-4,0.00839822024471635,0.48858654572940285,0.4583333333333333,-0.0026340502530978966,0.027777777777777762
wahida,L,11,663.3,634.6710280373832,-157.84444444444443,0.16666666666666669,-0.6346372015230652,0.8983357592733016,-0.335048845947375,0.8983357592733016,0.0011494252873563197,0.8538132050142191,5.268100506194522e-5,0.681320686529608,0.512962962962963,0.475,0.0011494252873563197,8.342602892102204e-4,0.5095616024187453,0.475,5.268100506194522e-5,5.050505050504974e-4
waverly,L,8,686.2083333333334,682.1345794392523,NA,NA,-2.435533966762736,0.013563750952850825,-9.290097691894745,0.013563750952850825,0.0013348164627363644,0.6048185129153771,0.007915893630179364,0.5402913746074198,0.45555555555555555,0.44166666666666665,0.0013348164627363644,0.007397107897664066,0.45895691609977324,0.44166666666666665,0.007915893630179364,0.021717171717171715
wedelia,L,0,669.6666666666666,637.4915887850467,NA,NA,-0.6133905080483347,0.8462762622035964,-3.5509157273214846,0.8462762622035964,0.0013329150147837596,0.8999659001387567,0.002977622025241045,0.8383602338389031,0.5048433048433049,0.4666666666666667,0.0013329150147837596,0.0065628476084538395,0.499697656840514,0.4666666666666667,0.002977622025241045,0.020202020202020186
